Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-1-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-2-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-3-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-4-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F7.mzML
A0A024QZP7	A0A024QZP7		CDK1		9.75641e+06	7.85525e+06	9.43896e+06	1.03244e+07	9.8204e+06	8.23518e+06		9.2402e+06	6.48264e+06				764477		3.45266e+06		7.20707e+06		4.56404e+06			8.31561e+06		4.30797e+06	568347				7.10392e+06			123483	5.39247e+06	3.35537e+06	1.06267e+06		262869		435998	2.1741e+06					4.45796e+06	6.66867e+06	5.53538e+06	1.61372e+06			1.87503e+06	2.48455e+06						
A0A024R4E5	A0A024R4E5		HDLBP		7.13304e+06	6.85694e+06	6.93126e+06	7.19968e+06	7.41111e+06	6.84497e+06	3.98761e+06	6.94466e+06	5.84578e+06	3.25374e+06	4.36472e+06	2.66624e+06	559821	2.17913e+06	3.10656e+06	465270	6.0798e+06	1.47879e+06	3.36657e+06	4.26053e+07	2.74514e+07	6.49259e+06	1.12594e+06	3.38642e+06	367446	586937	1.19526e+06	1.51275e+07	5.85675e+06	658160	1.13357e+06	432468	4.76984e+06	2.63879e+06	749455	2.08015e+07	235807	474927	516870	3.30533e+06	2.09057e+07	554952	1.06469e+06	874970	3.46016e+06	5.40861e+06	4.09134e+06	3.24712e+06	1.54018e+07	2.35934e+07	3.11005e+06	3.16824e+06	1.95831e+07	2.36325e+07	1.73865e+07	4.56744e+07	3.74704e+07	
A0A024RAC6	A0A024RAC6		ELOA		353395	332826	316490	320552	309602	307531	576221	333544	234727		1.89614e+06	1.38586e+06	136470	511923	163867		252254		149525	5.34883e+07	1.11024e+08	285500		142178	282568			5.77416e+07	219562			151092	280611	126056	165739	7.05418e+07	169687	52838.3	217074	249155					117166	182549	207251	278701			336088	334737	3.73106e+07	2.05842e+08		1.17338e+08		1.10897e+08
A0A024RBG1	A0A024RBG1		NUDT4B			210406		234220	228069	185286		256816	222072				104208		111837	125212	280692		143808			209117	49653.2	135770					283688			187794	280254	80999.3	67925.5					252386		222274			125024	218650	181193	248416			82208.7	198358						
A0A075B7B5	A0A075B7B5		SRGAP2		445638	291494	435619	290318	323483	382487		322021	345535				25704.4		240147	21696	299789	346608	225165			283578	167999	280727		67986.1	198255		246068	77747.2	151300		303285	174326	92309.7		74006.7			115661			251462	183063	231764	355555	285789	239481			290634	224629						
A0A075B7C0	A0A075B7C0		CAPNS1		2.89922e+06		3.43653e+06			4.27367e+06							3.15394e+06	3.98239e+07	1.94294e+06		2.51995e+06			1.31293e+07	1.23383e+07			2.14926e+06				1.28604e+07						1.9942e+06		1.55568e+07			3.29011e+06						2.05692e+06	2.47584e+06							2.17027e+07	2.06374e+07				
A0A087WSV0	A0A087WSV0		BCL2L12		338203		390964	928846	334584	2.25953e+06		2.66066e+06					180087			414388		300840					350393		133049	449622	181884		1.36043e+06	552860	155388	310581	1.78651e+06		116230		137276	384462				396980	153289	145566		112146												
A0A087WSZ0	A0A087WSZ0		IGKV1D-8		227336	330039	231893	258602		353634			337144				367632		512769				586296					588448									465325	659828	716454				503822	455124					605529	586143		513314			497646	440142						
A0A087WTC8	A0A087WTC8		HTD2								2.51244e+06			2.23924e+06	3.81568e+06	3.83323e+06		4.22219e+06																																												3.61157e+07
A0A087WTP2	A0A087WTP2		FDPS				391697					436690	254019				501906		486129	2.331e+06	384361	4.59052e+06	883782			713288	9.42192e+06	545701	699255	4.45232e+06	7.91927e+06		758204	5.96807e+06	8.45665e+06	1.60152e+06	453767	928238	508807		803104	3.69315e+06	899572			8.82312e+06	1.3876e+07	1.53606e+07	1.09066e+06	699596	1.14626e+06	3.06084e+06			3.81547e+06	4.18134e+06						
A0A087WU03	A0A087WU03		HNRNPDL		281464	556904	647030	609253	642973	616641		574914	714133				892026		518486	524558	681021		764499			778723	121213	695655	1.07925e+06	542704			862808	353723		749167	1.11711e+06	925831	1.34152e+06		922765	753259	1.74079e+06	655414		659854			1.0362e+06	1.29464e+06	1.07497e+06	1.06998e+06			1.10423e+06	1.38601e+06						
A0A087WUW5	A0A087WUW5		PTBP1			1.69023e+06		1.72317e+06	1.44093e+06	1.97983e+06		2.01868e+06	2.93148e+06				1.14554e+06		2.04105e+06	135698	2.75637e+06		3.144e+06			2.02678e+06		2.5611e+06	1.60406e+06	354065			2.91703e+06			589480	2.75138e+06	3.1428e+06	2.45468e+06		742936	262507	1.96265e+06	2.47914e+06					3.19901e+06	3.0702e+06	2.74179e+06	2.09566e+06			1.9884e+06	2.56074e+06						
A0A087WV01	A0A087WV01		EEF1A1		982788	788789	1.18182e+06	928403	942541	914271	792165	815816	851975	539613	1.25065e+06	3.27231e+06	994791	1.8353e+06	951954	1.24233e+06	984362	1.03293e+06	1.03241e+06	6.1822e+06	6.89241e+06	841450	2.05954e+06	1.84274e+06	1.74524e+06	1.94143e+06	1.75617e+06	7.78117e+06	701711	1.95761e+06	1.44072e+06	2.4412e+06	970218	1.13632e+06	2.09281e+06	8.35441e+06	1.48117e+06	2.30299e+06	1.47995e+06	466325	1.11024e+07	2.39942e+06	1.09483e+06	1.51151e+06	2.72088e+06	1.16033e+06	983138	324551	1.35466e+07	1.44526e+07	414399		3.83847e+06		6.96919e+06			
A0A087WVD1	A0A087WVD1		LENG9		3.07854e+06	1.56375e+06	3.53589e+06	1.67629e+06	1.74618e+06	1.66643e+06	1.47178e+06	1.82876e+06	1.70587e+06				396788		1.00979e+06	507194	1.66572e+06		1.12161e+06			1.86932e+06	96210.6	1.20743e+06	434863	820472	622331		1.68053e+06	971170		401113	1.36565e+06	868185	367592		781232	659343	521202	279446		699458		683170	970604	1.26344e+06	934534	337083			409112	119451						
A0A087WVI1	A0A087WVI1		PDLIM2										219132				508580		84045.9	390444			98056.9			210823		71328.9	394277	285425	131792		115801	202386	178672	377267		282474	377065		396019	231939	348257	341315		229204			125367	194373	128750	252980			257986	218146						
A0A087WVI4	A0A087WVI4		TMC4		1.81666e+06	1.07756e+06	1.45824e+06	1.23294e+06	1.31888e+06	1.15415e+06		1.3585e+06	870980				148973		401319		993448		423756			1.15561e+06		452532					940769				725742	386778	94647.4										604558	1.06985e+06	806967											
A0A087WVR3	A0A087WVR3		UHRF1		601460	535984	435860	705989	599748	532681		628028	417751				56971.4		211246		390665		210122			462307		219384	26745.7				450296			18197.1	332618	143175	31682			24171.7	17391.5	728566					162510	294396	235581	846046			882959	809124						
A0A087WWI0	A0A087WWI0		LRMDA		248993	150539	217376	224313	210801	174991		189756	140289						69381.7		136730		59260.7			164771		84264.3					165250				116332												46139.8	67345.9	87445.5											
